種別,用途,件名,差替タグ一覧,メール本文
新規開拓,初回アプローチ（無料広告アカウント診断）,【Web広告運用】{会社名}様のCPA改善・獲得最大化に向けた無料診断のご提案,"{会社名}, {役職}, {担当者名}, {貴社業界名}, {自社名}, {送信者名}, {URL}","{会社名}
{役職} {担当者名} 様

突然のご連絡にて失礼いたします。
株式会社REV-Cの山田翔太と申します。

弊社は、{貴社業界名}の企業様を中心に、リスティング広告・SNS広告の運用代行およびLP制作・改善を手掛けるWeb広告代理店でございます。

貴社のWeb展開を拝見し、現在のWeb広告配信や集客導線において、よりCPA（獲得単価）を抑えつつCV（コンバージョン）数を拡大できる余地があるのではないかと考え、ご連絡いたしました。

現在弊社では、他社様からの乗り換えや運用改善をご検討中の企業様向けに、「無料広告アカウント診断（配信構造・除外キーワード・クリエイティブ分析）」を実施しております。
すでに同業界の企業様では、アカウント再設計によりCPAを平均35%削減された実績もございます。

もしよろしければ、15分〜30分程度、オンラインにて概要や改善事例をご案内させていただけないでしょうか。
ご都合の良い日程候補を2〜3点いただけますと幸いでございます。

▼株式会社REV-C サービス実績・事例資料
https://company.rev-c.com

ご多忙の折恐縮ではございますが、ご検討のほど何卒よろしくお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
商談対応,商談後のお礼＆シミュレーション提示,【お礼】本日のWeb広告運用に関するお打ち合わせのお礼と今後の進め方【株式会社REV-C】,"{会社名}, {担当者名}, {面談日}, {課題内容}, {次回提案日}, {URL}","{会社名}
{担当者名} 様

いつも大変お世話になっております。
株式会社REV-Cの山田翔太でございます。

本日はご多忙の折、貴重なお時間をいただき誠にありがとうございました。

面談の中でお伺いいたしました、「{課題内容}」の課題につきまして、弊社にて媒体別の想定配信シミュレーション（目標CPA・獲得見込数）および改善施策プランを取りまとめ、次回のご提案にて提示させていただきたく存じます。

次回のお打ち合わせ候補日時：
・{次回提案日}

本日ご説明いたしました概要資料を下記URLへアップロードいたしましたので、社内共有用にご参照いただけますと幸いです。
▼本日のお打ち合わせ資料
https://company.rev-c.com

次回お話しできることを心より楽しみにしております。
引き続きどうぞよろしくお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
営業推進,資料請求・問い合わせへの返答＆事例送付,【資料送付】Web広告運用代行サービスのご案内および運用改善事例集【株式会社REV-C】,"{会社名}, {担当者名}, {サービス名}, {URL}","{会社名}
{担当者名} 様

平素より大変お世話になっております。
株式会社REV-Cの山田翔太です。

この度は、弊社のWeb広告運用代行サービスにお問い合わせいただき、誠にありがとうございます。

ご要望いただきましたサービス案内資料および同業界の運用改善事例集をご案内いたします。
媒体別（Google/Meta/LINE等）の運用実績や手数料体系、導入までのステップを詳しくまとめております。

▼資料ダウンロードリンク
https://company.rev-c.com

本資料をご覧いただき、不明点やさらに詳しい媒体別シミュレーションのご希望がございましたら、いつでもお気軽にお申し付けください。
貴社のご予算や目標指標に応じた個別プランのご案内も可能でございます。

今後とも何卒よろしくお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
フォローアップ,提案後の進捗確認・定期フォロー,【ご確認】先日ご提案させていただきましたWeb広告運用プランのご検討状況について,"{会社名}, {担当者名}, {提案日}, {サービス名}","{会社名}
{担当者名} 様

いつもお世話になっております。
株式会社REV-Cの山田翔太でございます。

{提案日}にご提案させていただきました「Web広告運用プラン」につきまして、その後社内でのご検討状況はいかがでしょうか。

広告開始時期に合わせたアカウント開設・タグ設置や、クリエイティブ制作のスケジュール調整など、追加で必要となる情報や社内稟議用の比較資料がございましたら迅速にサポートいたします。
また、ご不明点や懸念事項を解消するためのショートミーティング（15分程度）も随時受け付けております。

進捗状況やお気づきの点がございましたら、本メールへのご返信にてお気軽にお知らせいただけますと幸いです。
何卒よろしくお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
広告運用・報告,月次成果報告＆定例会のご案内,【月次報告】{対象月}度 Web広告運用実績レポートのご報告および定例ミーティング日程調整,"{会社名}, {担当者名}, {対象月}, {消化金額}, {CV数}, {CPA}, {日程候補}, {URL}","{会社名}
{担当者名} 様

いつも大変お世話になっております。
株式会社REV-Cの山田翔太でございます。

{対象月}度のWeb広告運用実績が確定いたしましたので、月次レポートを送付いたします。

■{対象月}度 運用実績ハイライト
・広告消化金額：{消化金額}
・獲得CV数：{CV数}
・獲得単価（CPA）：{CPA}

先月実施したクリエイティブ改修および入札戦略の最適化により、好調な数値を維持しております。
つきましては、詳細な分析結果と次月の施策方針（媒体予算配分・新規訴求クリエイティブ）をご共有する定例ミーティングを実施したく存じます。

下記候補日程より、ご都合の良い日時をお知らせいただけますでしょうか。
{日程候補}

▼月次レポート閲覧URL
https://company.rev-c.com

ご確認のほどよろしくお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
導入・運用開始,キックオフ・初期設定のご案内,【キックオフのご案内】Web広告運用代行の開始準備および初回ミーティング日程調整,"{会社名}, {担当者名}, {媒体名}, {日程候補}, {URL}","{会社名}
{担当者名} 様

この度は、株式会社REV-CにWeb広告運用をお任せいただき、誠にありがとうございます。
運用担当の山田翔太でございます。

広告配信のスムーズな立ち上げと成果最大化に向けて、初回キックオフミーティングを実施したく存じます。
ミーティングでは、広告アカウント権限の共有、コンバージョンタグ・GA4の計測設定、ターゲット設計、今後の配信スケジュールについて確認いたします。

つきましては、下記候補日程よりご都合のよい日時をご返信いただけますでしょうか。
{日程候補}

▼初期準備シート・ヒアリングシート
https://company.rev-c.com

貴社のマーケティング成果向上に向けて全力で伴走いたします。
どうぞよろしくお願いいたします。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
運用改善・提案,新規媒体追加・改善施策のご提案,【施策ご提案】新規獲得拡大に向けた{新規媒体名}広告の配信テストおよび訴求改善のご案内,"{会社名}, {担当者名}, {新規媒体名}, {想定成果}, {URL}","{会社名}
{担当者名} 様

いつも大変お世話になっております。
株式会社REV-Cの山田翔太です。

現在順調に運用が進んでおります広告配信ですが、さらなる獲得数の最大化を目指し、「{新規媒体名}」を活用した新規リーチ獲得施策をご提案したくご連絡いたしました。

競合他社に先駆けて新フォーマットでのアプローチを行うことで、従来の配信面とは異なる潜在層の獲得（{想定成果}）が見込めます。

▼施策概要・予算配分シミュレーション資料
https://company.rev-c.com

本施策について、次回定例会または15分程度のオンラインにて概要をご案内させていただけますと幸いです。
ご意見やご要望がございましたら、いつでもお気軽にお知らせください。

引き続きどうぞよろしくお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
パートナー営業,協業・パートナーシップのご提案,【協業のご提案】貴社クライアント様向けWeb広告運用支援におけるアライアンスのご案内,"{会社名}, {担当者名}, {貴社強み}, {提案内容}, {URL}","{会社名}
{担当者名} 様

突然のご連絡にて失礼いたします。
株式会社REV-Cの山田翔太と申します。

貴社の「{貴社強み}」における卓越した実績とサービス展開を拝見し、ご連絡いたしました。

Web広告代理店である弊社では、Web制作会社様やコンサルティング会社様と連携し、制作後の集客・広告運用を包括的にサポートするパートナー体制を強化しております。

貴社のお客様へ弊社の広告運用代行サービスを付加価値としてご提供いただくことで、クライアント様の事業成長と貴社の継続収益拡大（{提案内容}）に貢献できると考えております。

まずは一度、両社間での協業可能性を探る情報交換（オンライン30分程度）のお時間をいただけますと幸甚に存じます。

▼提携パートナー制度・実績概要
https://company.rev-c.com

ご多用のところ恐縮ではございますが、ご検討のほどよろしくお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
マーケティング,セミナー・ウェビナー共催のご招待,【無料Webセミナー】広告費高騰時代を勝ち抜く！最新Web広告運用＆CVR改善戦略セミナー,"{会社名}, {担当者名}, {開催日時}, {申込締切}, {URL}","{会社名}
{担当者名} 様

いつもお世話になっております。
株式会社REV-C セミナー事務局の山田翔太です。

この度、マーケティング・広告ご担当者様向けに、最新の広告プラットフォーム動向とCVR改善ノウハウをお届けするオンラインセミナーを開催する運びとなりましたので、日頃よりご縁のある皆様へ優先してご案内いたします。

■セミナー開催概要
・テーマ：広告費高騰時代を勝ち抜く！最新Web広告運用＆CVR改善戦略
・日時：{開催日時}
・形式：オンライン配信（Zoom）
・参加費：無料（事前登録制）
・申込締切：{申込締切}

直近のアルゴリズム変更に対応した効果的な入札設定や、成約率を跳ね上げるクリエイティブ設計について事例を交えて徹底解説いたします。

▼詳細確認・参加登録はこちら
https://company.rev-c.com

定員になり次第締め切りとなりますので、ぜひお早めにお申し込みください。
皆様のご参加を心よりお待ちしております。

--------------------------------------------------
株式会社REV-C
セミナー運営事務局　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
契約・管理,広告運用代行契約の更新確認,【重要・ご契約更新】Web広告運用代行サービス 次期ご契約期間のお手続きについて【株式会社REV-C】,"{会社名}, {担当者名}, {契約満了日}, {更新手続き締切}, {URL}","{会社名}
{担当者名} 様

いつも大変お世話になっております。
株式会社REV-Cの山田翔太でございます。

貴社にお任せいただいておりますWeb広告運用代行サービスにつきまして、現行のご契約期間満了日が【{契約満了日}】と近づいてまいりましたため、次回期間の更新手続きについてご案内申し上げます。

次期におきましても、配信媒体の最適化や予算配分、さらなる獲得効率の向上に向けて万全の体制でサポートを継続させていただきます。

■お手続き概要
・更新手続き締切日：{更新手続き締切}
・契約期間：満了日より6ヶ月間（または1年間）

▼ご契約内容の確認および更新申請フォーム
https://company.rev-c.com

次期の広告予算の見直しや媒体追加のご相談がございましたら、締切日までに本メール宛てにご連絡いただけますと幸いです。
今後とも変わらぬお引き立てを賜りますようお願い申し上げます。

--------------------------------------------------
株式会社REV-C
マーケティング事業部　山田翔太
URL: https://company.rev-c.com
--------------------------------------------------"
