ブランド区分,カラー名 / 用途,HEXコード,RGB値,説明 / 使用ガイドライン,カラー見本
Brand Primary,Primary Blue（メインアクション）,#1E3A8A,"rgb(30, 58, 138)",ブランドを象徴するネイビーブルー。主要ボタン、ヘッダー、最重要CTAに適用。,
Brand Secondary,Secondary Slate（サブ要素）,#475569,"rgb(71, 85, 105)",落ち着いたスレートグレー。セカンダリボタン、サブタイトル、補助アイコンに適用。,
Brand Accent,Accent Sky（注目・ハイライト）,#0EA5E9,"rgb(14, 165, 233)",鮮やかなスカイブルー。アクティブタブ、進捗バー、注目バッジ、新着通知に適用。,
Functional Success,Success Green（成功・完了）,#10B981,"rgb(16, 185, 129)",視認性の高いエメラルドグリーン。ステータス「完了」「承認済」「正常稼働」に適用。,
Functional Warning,Warning Amber（警告・注意）,#F59E0B,"rgb(245, 158, 11)",注意喚起用アンバー。ステータス「確認中」「保留」「期限間近」のアラートに適用。,
Functional Danger,Danger Red（エラー・重要警告）,#EF4444,"rgb(239, 68, 68)",明快な警告を示すレッド。システムエラー、重大警告、削除・解約ボタンに適用。,
Typography Main,Dark Slate（見出し・主要文字）,#0F172A,"rgb(15, 23, 42)",最高視認性を保つダークスレート。大見出し、数値強調、ハイコントラスト文字に適用。,
Typography Body,Body Slate（本文・一般文字）,#334155,"rgb(51, 65, 85)",読みやすさに配慮したダークグレー。長文メール本文、表内データ、説明文に適用。,
Surface Border,Border Gray（枠線・境界線）,#CBD5E1,"rgb(203, 213, 225)",視覚ノイズを抑えたライトグレー。カード枠線、テーブル境界線、区切り線に適用。,
Surface Background,Canvas Light（背景・ベース面）,#F8FAFC,"rgb(248, 250, 252)",ニュートラルなオフホワイト。画面全体の背景、交互行の背景色、カードベースに適用。,
