No,プロンプトタイトル,カテゴリ,活用シーン,プロンプト本文
1,3C分析による市場環境・ポジショニング調査,市場調査,クライアントの新規案件や広告戦略立案にあたり、市場・顧客・競合・自社を包括的に整理する,"# 指示
あなたはWebマーケティング戦略の専門家です。
以下の【クライアント情報】と【市場テーマ】をもとに、広告運用の戦略骨子となる「3C分析（Customer・Competitor・Company）」を実施してください。

# 出力フォーマット
1. 市場・顧客（Customer）：市場規模トレンド、顧客属性、顕在・潜在ニーズ、購買決定要因
2. 競合（Competitor）：主要競合企業の強み・弱み、広告訴求パターン、差別化の余地
3. 自社（Company）：独自の強み（USP）、提供価値、競合優位性
4. 統合戦略サマリー：広告運用で狙うべきポジショニングと推奨施策

【クライアント情報】
- 会社名/商材名：{商材名}
- 業種/業界：{業種}
- ターゲット層：{想定ターゲット}
- 主要競合：{競合社名や競合商材}"
2,ターゲット顧客のペルソナ設計＆インサイト深掘り,市場調査,広告クリエイティブやLP訴求の精度を高めるため、解像度の高いペルソナを定義する,"# 指示
あなたは消費者心理とインサイト抽出のエキスパートです。
【商材概要】をもとに、広告施策の土台となる具体的かつリアルな「顧客ペルソナ」を作成してください。

# 出力項目
- 基本情報（年齢、性別、職業、年収、家族構成、居住地域）
- ライフスタイル・情報接触行動（よく見るSNS、検索行動、意思決定スタイル）
- 現状のペインポイント（日常で抱える強い悩み・不満・不安）
- 理想のゴール（商材利用後に手に入れたい感情・変化）
- 心を動かすキラーワード（思わず手を止める感情訴求フック3案）

【商材概要】
- 商材名：{商材名}
- 価格帯：{価格帯}
- 解決できる課題：{解決課題}"
3,競合他社広告＆クリエイティブ訴求分析,市場調査,競合が展開している広告訴求やオファーを分析し、勝ち筋となる差別化ポイントを導出する,"# 指示
Web広告アナリストとして、以下の【競合他社の情報】をもとに、競合の広告コミュニケーション戦略を分析し、自社が勝つための「逆張り訴求・差別化戦略」を立案してください。

# 分析視点
1. 競合のメインオファー（価格、無料体験、保証、限定特典など）
2. 競合が多用している訴求軸（恐怖回避、利得最大化、手軽さ、権威性等）
3. 競合の見落としている未充足ニーズ・盲点
4. 自社が突くべき「ホワイトスペース（勝ち筋）」と具体的な広告テーマ3選

【自社商材】
{商材名・価格・特徴}

【競合の広告情報】
{競合名・LPのURL・見かけた広告文や訴求メモ}"
4,カスタマージャーニー＆広告ファネル別アプローチ設計,市場調査,ユーザーの検討段階（認知・興味・比較・購入）に応じた広告配信設計と訴求整理を行う,"# 指示
Web広告のメディアプランナーとして、以下の【ターゲットと商材】におけるカスタマージャーニーマップと、各フェーズごとの推奨広告配信チャネル・訴求テーマを策定してください。

# 出力形式（表形式＋要点解説）
■ フェーズ：【認知】→【興味・関心】→【比較・検討】→【購入・CV】
各フェーズごとに以下を記載：
- ユーザーの心理・行動（どんな検索や疑問を抱えているか）
- 推奨広告チャネル（リスティング / SNS広告 / リマーケティング等）
- 広告コピーの主訴求テーマ
- 遷移先LP・コンテンツの役割

【商材・ターゲット情報】
{商材名・ターゲット層・購入検討期間}"
5,Google/Yahoo!リスティング広告テキスト作成,Webライティング,リスティング広告の検索意図にマッチした、クリック率の高い見出しと説明文を作成する,"# 指示
リスティング広告運用のトップコピーライターとして、以下の【キーワード・商材情報】に最適化されたGoogle/Yahoo!リスティング広告の広告文を作成してください。

# 納品物
1. 広告見出し（半角30文字／全角15文字以内）× 10パターン
   - キーワード連動型、実績・数値型、悩み共感型、オファー強調型を網羅
2. 説明文（半角90文字／全角45文字以内）× 4パターン
   - ターゲットの悩み解決＋USP（強み）＋明確なCTA（行動喚起）

【ターゲットキーワード】
{主要検索キーワード}

【商材概要・強み】
{商材名・価格・割引やキャンペーン・実績数値}"
6,Meta（Facebook・Instagram）広告コピー作成,Webライティング,フィード・ストーリー等でスクロールを止め、CVへと導くSNS広告テキストを作成する,"# 指示
SNS広告クリエイティブディレクターとして、以下の【商材・ターゲット情報】をもとに、Meta（Instagram/Facebook）広告用のコピーを3パターン作成してください。

# パターン展開
- パターンA：問題提起・共感型（「〇〇でお悩みではありませんか？」）
- パターンB：実績・権威性型（「導入〇社突破！」「専門家が推奨する〜」）
- パターンC：ベネフィット・未来提示型（「たった3分で劇的変化」）

# 各パターンの構成
- プライマリテキスト（本文：冒頭フック＋ベネフィット＋導入理由＋CTA）
- 見出し（太字表示：全角15〜20文字）
- クリエイティブ画像/動画のビジュアルイメージ指示（どのような画が適しているか）

【商材情報】
{商材名・ターゲット層・主なベネフィット}"
7,ショート動画（TikTok/Reels/Shorts）広告台本作成,Webライティング,最初の3秒で離脱を防ぎ、LP遷移へ誘導する縦型ショート動画のシナリオを作成する,"# 指示
縦型ショート動画マーケターとして、以下の【商材】に関する30秒〜45秒の動画広告スクリプト（台本）を作成してください。

# タイムライン構成
- 0〜3秒【フック】：強烈な違和感・共感・驚きで指を止めさせる演出
- 4〜15秒【アジテーション】：ユーザーの隠れた悩み・誤った常識を指摘
- 16〜30秒【ソリューション】：商材の登場、利用シーン、変化の実感
- 31〜40秒【オファー＆CTA】：限定特典の提示とプロフィール/リンクタップ誘導

# 出力フォーマット
「秒数」「映像・演出・テロップ」「ナレーション/セリフ」を表形式で整理

【商材情報】
{商材名・解決できる課題・オファー内容}"
8,高CVRランディングページ（LP）全体構成・ワイヤーフレーム設計,Webライティング,訪問者を離脱させずCVへと導く、セールスライティングに基づいたLPの骨子を設計する,"# 指示
ダイレクトレスポンスマーケティング（DRM）のプロとして、以下の【商材情報】をもとに、成約率の高いLP構成案（ワイヤーフレーム骨子）を作成してください。

# LP構成要素
1. ファーストビュー（FV）：メインキャッチ、サブキャッチ、権威付けバッジ、メインCTA
2. 共感・問題提起（PASTORフォーミュラ）：ターゲットのリアルな悩み
3. 解決策の提示（USP）：なぜこの商材なら解決できるのか（独自性）
4. ベネフィット・導入効果：得られる未来を定量的・定性的に描写
5. お客様の声・導入事例：信憑性を担保する社会的証明
6. オファー詳細・料金：明朗なプラン設計と安心感の提示
7. FAQ（よくある質問）：購入直前の不安・ボトルネックを解消
8. クロージング（ラストCTA）：限定性・緊急性を伴うアクション喚起

【商材情報】
{商材名・ターゲット・価格・強み}"
9,LPファーストビュー（FV）キャッチコピー多変量展開,Webライティング,LPの離脱率を激減させ、スクロールを促すFVのコピー案を10パターン作成する,"# 指示
セールスコピーライターとして、以下の【商材情報】をもとに、LPのファーストビューに配置するキャッチコピーを、訴求軸別に10パターン作成してください。

# 訴求軸（各2案）
1. 【悩み直撃型】：最も痛いペインに直接問いかけるコピー
2. 【手軽さ・即効性型】：労力や時間をかけずに成果が出ることを伝えるコピー
3. 【数値・実績型】：圧倒的な実績や導入数で信頼を勝ち取るコピー
4. 【逆説・常識破壊型】：「まだ〇〇してるの？」と既存の手法を疑わせるコピー
5. 【ターゲット限定型】：「〇〇な方限定」と当事者意識を一瞬で持たせるコピー

※各案に「メインキャッチ」と「サブキャッチ」をセットで提示してください。

【商材情報】
{商材名・ターゲット層・最大の特徴}"
10,SEO集客記事の検索意図分析＆構成案（見出し・骨子）作成,Webライティング,検索上位表示（SEO）を狙い、ユーザーニーズとGoogle評価を両立する記事構成を作る,"# 指示
SEOコンテンツストラテジストとして、指定された【想定キーワード】における上位表示を狙う記事の構成案（目次構成）を作成してください。

# 構成案に含める要件
- 検索意図の分析（顕在ニーズ・潜在ニーズの言語化）
- タイトル案（32文字程度、キーワードを左側に配置、クリック率を高めるフック）
- 記事導入文（リード文）の要点（共感＋記事を読むメリット＋結論提示）
- 見出し構成（H2・H3タグ）と各見出しごとの執筆サマリー
- 読者を行動（CV）に導く自然なCTAの配置ポイント

【想定キーワード】
{対策したい検索キーワード}

【誘導したい自社商材・サービス】
{自社商材名・CVポイント}"
